Date,Close
3/2/2015,76.44
3/3/2015,75.45
3/4/2015,73.6
3/5/2015,74.7
3/6/2015,74.06
3/9/2015,74.24
3/10/2015,73.59
3/11/2015,74.24
3/12/2015,76.66
3/13/2015,76.92
3/16/2015,78.65
3/17/2015,79.9
3/18/2015,80.05
3/19/2015,80.46
3/20/2015,79.38
3/23/2015,79.28
3/24/2015,79.25
3/25/2015,76.2
3/26/2015,77.03
3/27/2015,78.47
3/30/2015,79.44
3/31/2015,78.78
4/1/2015,75.65
4/2/2015,76.12
4/6/2015,78.24
4/7/2015,78.47
4/8/2015,80.84
4/9/2015,81.74
4/10/2015,82.34
4/13/2015,80.73
4/14/2015,80.2
4/15/2015,80.75
4/16/2015,82.84
4/17/2015,73.29
4/20/2015,74.64
4/21/2015,77.5
4/22/2015,77.72
4/23/2015,76.88
4/24/2015,76.09
4/27/2015,74.76
4/28/2015,74.99
4/29/2015,77.47
4/30/2015,74.86
5/1/2015,73.75
5/4/2015,73.61
5/5/2015,73.28
5/6/2015,73.3
5/7/2015,74.01
5/8/2015,73.91
5/11/2015,73.99
5/12/2015,74.26
5/13/2015,75.11
5/14/2015,76.05
5/15/2015,75.71
5/18/2015,77.26
5/19/2015,77.78
5/20/2015,77.45
5/21/2015,78.87
5/22/2015,78.76
5/26/2015,77.71
5/27/2015,78.39
5/28/2015,78.4
5/29/2015,76.61
6/1/2015,75.68
6/2/2015,75.38
6/3/2015,76.61
6/4/2015,75.46
6/5/2015,76.89
6/8/2015,74.67
6/9/2015,75.66
6/10/2015,77.7
6/11/2015,77.73
6/12/2015,77.94
6/15/2015,77.64
6/16/2015,79.4
6/17/2015,79.92
6/18/2015,80.97
6/19/2015,80.38
6/22/2015,80.32
6/23/2015,80.75
6/24/2015,77.47
6/25/2015,78.92
6/26/2015,77.02
6/29/2015,73.77
6/30/2015,74.31
7/1/2015,73.9
7/2/2015,74.53
7/6/2015,73.7
7/7/2015,75.68
7/8/2015,74.83
7/9/2015,76.18
7/10/2015,76.74
7/13/2015,76.6
7/14/2015,77.41
7/15/2015,77.58
7/16/2015,78.92
7/17/2015,78.92
7/20/2015,78.84
7/21/2015,78.57
7/22/2015,77.85
7/23/2015,78.02
7/24/2015,79.64
7/27/2015,76.34
7/28/2015,78.63
7/29/2015,77.98
7/30/2015,81.03
7/31/2015,80.5
8/3/2015,79.15
8/4/2015,77.91
8/5/2015,78.41
8/6/2015,75.99
8/7/2015,76.95
8/10/2015,76.59
8/11/2015,76.67
8/12/2015,76.85
8/13/2015,75.7
8/14/2015,76.63
8/17/2015,77.25
8/18/2015,75.89
8/19/2015,75.63
8/20/2015,70.31
8/21/2015,69.91
8/24/2015,68
8/25/2015,68.67
8/26/2015,71.41
8/27/2015,72.36
8/28/2015,72.54
8/31/2015,70.96
9/1/2015,68.92
9/2/2015,69.95
9/3/2015,71.22
9/4/2015,69.79
9/8/2015,73.33
9/9/2015,72.02
9/10/2015,72.66
9/11/2015,73.6
9/14/2015,73.56
9/15/2015,74.26
9/16/2015,73.94
9/17/2015,74.61
9/18/2015,74.36
9/21/2015,74.41
9/22/2015,73.06
9/23/2015,72.99
9/24/2015,72.12
9/25/2015,72.86
9/28/2015,69.03
9/29/2015,68.94
9/30/2015,69.45
10/1/2015,71.58
10/2/2015,72.23
10/5/2015,76.47
10/6/2015,74.58
10/7/2015,74.97
10/8/2015,73.02
10/9/2015,74.42
10/12/2015,74.28
10/13/2015,74.16
10/14/2015,73.9
10/15/2015,75.64
10/16/2015,76.46
10/19/2015,75.79
10/20/2015,74.73
10/21/2015,73.02
10/22/2015,77.95
10/23/2015,78.89
10/26/2015,78.8
10/27/2015,80.17
10/28/2015,82.15
10/29/2015,81.56
10/30/2015,81.65
11/2/2015,82.02
11/3/2015,82.53
11/4/2015,83.84
11/5/2015,83.91
11/6/2015,85.24
11/9/2015,84.6
11/10/2015,84.15
11/11/2015,83.9
11/12/2015,84.5
11/13/2015,82.88
11/16/2015,84.37
11/17/2015,84.91
11/18/2015,85.75
11/19/2015,85.75
11/20/2015,86.19
11/23/2015,86.46
11/24/2015,86.7
11/25/2015,86.89
11/27/2015,87.29
11/30/2015,87.01
12/1/2015,86.47
12/2/2015,87.53
12/3/2015,88.09
12/4/2015,89.99
12/7/2015,87.98
12/8/2015,87.72
12/9/2015,86.1
12/10/2015,86.94
12/11/2015,83.49
12/14/2015,83.57
12/15/2015,85.6
12/16/2015,87.39
12/17/2015,87.27
12/18/2015,85.73
12/21/2015,87.02
12/22/2015,86.48
12/23/2015,86.89
12/24/2015,86.96
12/28/2015,86.89
12/29/2015,88.12
12/30/2015,87.38
12/31/2015,86.56
1/4/2016,84.07
1/5/2016,84
1/6/2016,81.42
1/7/2016,79.64
1/8/2016,78.12
1/11/2016,78.53
1/12/2016,80.99
1/13/2016,76.79
1/14/2016,78.21
1/15/2016,76.34
1/19/2016,74.32
1/20/2016,74.31
1/21/2016,74.41
1/22/2016,76.67
1/25/2016,76.1
1/26/2016,77.96
1/27/2016,75.37
1/28/2016,63.57
1/29/2016,62.21
2/1/2016,61.96
2/2/2016,57.25
2/3/2016,59.3
2/4/2016,58.62
2/5/2016,52.31
2/8/2016,47.14
2/9/2016,48.52
2/10/2016,49.99
2/11/2016,49.03
2/12/2016,50.08
2/16/2016,52.04
2/17/2016,55.26
2/18/2016,54.26
2/19/2016,54.74
2/22/2016,54.69
2/23/2016,53.01
2/24/2016,52.55
2/25/2016,54.16
2/26/2016,55.51
2/29/2016,54.99
3/1/2016,57.85
3/2/2016,57.66
3/3/2016,58.36
3/4/2016,58.5
3/7/2016,58.22
3/8/2016,60.34
3/9/2016,60.49
3/10/2016,60.72
3/11/2016,63.35
3/14/2016,62.35
3/15/2016,61.65
3/16/2016,62.37
